stimuli,response
"(2, 144)",0.4444444444444444
"(3, 3)",0.8326180257510729
"(3, 4)",0.578125
"(3, 7)",0.29411764705882354
"(3, 10)",0.35714285714285715
"(3, 18)",0.673036093418259
"(3, 25)",0.28125
"(3, 26)",0.5862068965517241
"(3, 29)",0.36585365853658536
"(3, 31)",0.1891891891891892
"(3, 33)",0.25
"(3, 38)",0.4583333333333333
"(3, 39)",0.2564102564102564
"(3, 42)",0.24242424242424243
"(3, 43)",0.34375
"(3, 44)",0.43333333333333335
"(3, 47)",0.21428571428571427
"(3, 48)",0.5172413793103449
"(3, 50)",0.2222222222222222
"(3, 51)",0.35135135135135137
"(3, 52)",0.28205128205128205
"(3, 53)",0.6911764705882353
"(3, 56)",0.36585365853658536
"(3, 68)",0.2692307692307692
"(3, 74)",0.3291139240506329
"(3, 78)",0.40625
"(3, 80)",0.3888888888888889
"(3, 83)",0.358974358974359
"(3, 90)",0.2894736842105263
"(3, 91)",0.2903225806451613
"(3, 92)",0.17391304347826086
"(3, 96)",0.3076923076923077
"(3, 97)",0.32075471698113206
"(3, 98)",0.2894736842105263
"(3, 105)",0.48
"(3, 111)",0.30303030303030304
"(3, 113)",0.3055555555555556
"(3, 115)",0.3111111111111111
"(3, 123)",0.32142857142857145
"(3, 124)",0.4666666666666667
"(3, 126)",0.5897435897435898
"(3, 127)",0.34375
"(3, 128)",0.6984126984126984
"(3, 132)",0.3225806451612903
"(3, 133)",0.5882352941176471
"(3, 134)",0.23529411764705882
"(3, 135)",0.4883720930232558
"(3, 138)",0.2857142857142857
"(3, 139)",0.5
"(4, 4)",0.7696476964769647
"(4, 7)",0.2328767123287671
"(4, 10)",0.6410256410256411
"(4, 18)",0.6060606060606061
"(4, 25)",0.24444444444444444
"(4, 26)",0.3170731707317073
"(4, 29)",0.41379310344827586
"(4, 31)",0.417910447761194
"(4, 33)",0.36
"(4, 38)",0.6491228070175439
"(4, 39)",0.3333333333333333
"(4, 42)",0.22
"(4, 43)",0.25
"(4, 44)",0.5846153846153846
"(4, 47)",0.34615384615384615
"(4, 48)",0.25
"(4, 50)",0.2826086956521739
"(4, 51)",0.2619047619047619
"(4, 52)",0.2545454545454545
"(4, 53)",0.36923076923076925
"(4, 56)",0.2558139534883721
"(4, 68)",0.2682926829268293
"(4, 74)",0.6087516087516087
"(4, 78)",0.19642857142857142
"(4, 80)",0.3888888888888889
"(4, 83)",0.3333333333333333
"(4, 90)",0.15384615384615385
"(4, 91)",0.3055555555555556
"(4, 92)",0.2826086956521739
"(4, 96)",0.32926829268292684
"(4, 97)",0.25
"(4, 98)",0.31746031746031744
"(4, 105)",0.3333333333333333
"(4, 111)",0.38
"(4, 113)",0.3111111111111111
"(4, 115)",0.14035087719298245
"(4, 123)",0.26666666666666666
"(4, 124)",0.6
"(4, 126)",0.3333333333333333
"(4, 127)",0.40625
"(4, 128)",0.36
"(4, 132)",0.10344827586206896
"(4, 133)",0.27906976744186046
"(4, 134)",0.20512820512820512
"(4, 135)",0.2727272727272727
"(4, 138)",0.2222222222222222
"(4, 139)",0.2692307692307692
"(5, 5)",0.8
"(5, 6)",0.3125
"(5, 14)",0.5
"(5, 16)",0.3125
"(5, 17)",0.23076923076923078
"(5, 20)",0.3
"(5, 23)",0.5454545454545454
"(5, 30)",0.23076923076923078
"(5, 34)",0.375
"(5, 41)",0.5833333333333334
"(5, 45)",0.47619047619047616
"(5, 49)",0.35714285714285715
"(5, 52)",0.4
"(5, 55)",0.1111111111111111
"(5, 58)",0.7967032967032966
"(5, 60)",0.35294117647058826
"(5, 62)",0.1875
"(5, 63)",0.21052631578947367
"(5, 65)",0.42857142857142855
"(5, 67)",0.4
"(5, 70)",0.3333333333333333
"(5, 72)",0.23076923076923078
"(5, 79)",0.25
"(5, 86)",0.21052631578947367
"(5, 87)",0.21428571428571427
"(5, 89)",0.9411764705882353
"(5, 93)",0.23529411764705882
"(5, 99)",0.3333333333333333
"(5, 100)",0.13043478260869565
"(5, 101)",0.2
"(5, 103)",0.25
"(5, 107)",0.16666666666666666
"(5, 108)",0.16666666666666666
"(5, 109)",0.47619047619047616
"(5, 110)",0.26666666666666666
"(5, 115)",0.2777777777777778
"(5, 116)",0.6875
"(5, 117)",0.7692307692307693
"(5, 119)",0.3333333333333333
"(5, 129)",0.3333333333333333
"(5, 130)",0.7142857142857143
"(5, 131)",0.4
"(5, 137)",0.09090909090909091
"(5, 142)",0.5
"(5, 143)",0.625
"(5, 144)",0.1
"(6, 6)",0.9239130434782609
